,ID,MSM2018,LBA_Name,Sector_1,Sector_2,Sector_3
603,99900,279,Albert - Eden,Inner Isthmus,Inner Isthmus Central,Mount Eden / Epsom
604,99901,342,Albert - Eden,Inner Isthmus,Inner Isthmus Central,Mount Eden / Epsom
605,99902,350,Maungakiekie - Tamaki,Outer Isthmus,Isthmus East,Onehunga / Penrose
606,99903,482,Mangere - Otahuhu,South Auckland,South Auckland,Mangere - Otahuhu
607,99904,499,Otara - Papatoetoe,South Auckland,South Auckland,Otara - Papatoetoe
608,99905,521,Manurewa,South Auckland,South Auckland,Manurewa
609,99906,371,Orakei,Inner Isthmus,Isthmus East,Orakei
610,99907,265,Albert - Eden,Inner Isthmus,Inner Isthmus Central,Mount Eden / Epsom
611,99908,268,Albert - Eden,Inner Isthmus,Inner Isthmus West,Inner Isthmus West
612,99909,301,Albert - Eden,Inner Isthmus,Inner Isthmus West,Inner Isthmus West
614,99911,134,Devonport - Takapuna,North Shore,North Shore,Devonport - Takapuna
617,99914,467,Mangere - Otahuhu,South Auckland,South Auckland,Mangere - Otahuhu
618,99915,7,Rodney,West Auckland,Rodney,Rodney
619,99916,7,Rodney,West Auckland,Rodney,Rodney
620,99917,485,Otara - Papatoetoe,South Auckland,South Auckland,Otara - Papatoetoe
621,99918,578,Franklin,South Auckland,Franklin,Franklin
623,99920,507,Manurewa,South Auckland,South Auckland,Manurewa
624,99921,520,Manurewa,South Auckland,South Auckland,Manurewa
625,99922,7,Rodney,West Auckland,Rodney,Rodney
626,99923,529,Papakura,South Auckland,South Auckland,Papakura
627,99924,540,Papakura,South Auckland,South Auckland,Papakura
628,99925,156,Waitakere Ranges,West Auckland,West Auckland,Waitakere Ranges
629,99926,195,Waitakere Ranges,West Auckland,West Auckland,Waitakere Ranges
630,99927,194,Henderson - Massey,West Auckland,West Auckland,Henderson
631,99928,200,Henderson - Massey,West Auckland,West Auckland,Henderson
632,99929,213,Henderson - Massey,West Auckland,West Auckland,Henderson
633,99930,7,Rodney,West Auckland,Rodney,Rodney
634,99931,215,Henderson - Massey,West Auckland,West Auckland,Henderson
638,99935,7,Rodney,West Auckland,Rodney,Rodney
639,99936,7,Rodney,West Auckland,Rodney,Rodney
640,99937,7,Rodney,West Auckland,Rodney,Rodney
653,99950,402,Howick,East Auckland,East Auckland,Howick
654,99951,131,Devonport - Takapuna,North Shore,North Shore,Devonport - Takapuna
655,99952,133,Devonport - Takapuna,North Shore,North Shore,Devonport - Takapuna
656,99953,29,Hibiscus and Bays,North Shore,Hibiscus Coast,Hibiscus Coast
658,99955,100,Kaipatiki,North Shore,North Shore,Kaipatiki
659,99956,178,Upper Harbour,West Auckland,West Auckland,Hobsonville
660,99957,181,Upper Harbour,West Auckland,West Auckland,Hobsonville
661,99958,347,Maungakiekie - Tamaki,Outer Isthmus,Isthmus East,Onehunga / Penrose
664,99961,74,Upper Harbour,North Shore,North Shore,Albany
665,99962,66,Upper Harbour,North Shore,North Shore,Albany
669,99966,35,Hibiscus and Bays,North Shore,Hibiscus Coast,Hibiscus Coast
675,99972,375,Maungakiekie - Tamaki,Outer Isthmus,Isthmus East,Mount Wellington / Tamaki
676,99973,306,Whau,West Auckland,Isthmus West,Whau
677,99974,386,Maungakiekie - Tamaki,Outer Isthmus,Isthmus East,Mount Wellington / Tamaki
678,99975,240,Whau,West Auckland,Isthmus West,Whau
679,99976,352,Maungakiekie - Tamaki,Outer Isthmus,Isthmus East,Onehunga / Penrose
680,99977,215,Henderson - Massey,West Auckland,West Auckland,Henderson
681,99978,237,Whau,West Auckland,Isthmus West,Whau
687,99984,449,Franklin,South Auckland,Franklin,Franklin
691,99988,112,Kaipatiki,North Shore,North Shore,Kaipatiki
692,99989,288,Orakei,Inner Isthmus,Isthmus East,Remuera / Ellerslie
